Rank,IsMvp,IsMvp_Int,LgYear,Pos,Pos_Int,Lg,Year,Name,Tm,Vote Pts,1st Place,Share,WAR,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,W,L,ERA,WHIP,G.1,GS,SV,IP,H.1,HR.1,BB.1,SO
14,No,0,AL84,Batter,1,AL,1984,Dave Kingman,OAK,10.0,0.0,3%,2.5,147.0,549.0,68.0,147.0,35.0,118.0,2.0,44.0,0.268,0.321,0.505,0.826,,,,,,,,,,,,
15,No,0,AL84,Batter,1,AL,1984,Jim Rice,BOS,10.0,0.0,3%,2.5,159.0,657.0,98.0,184.0,28.0,122.0,4.0,44.0,0.28,0.323,0.467,0.791,,,,,,,,,,,,
16,No,0,AL84,Batter,1,AL,1984,Lance Parrish,DET,8.0,0.0,2%,2.8,147.0,578.0,75.0,137.0,33.0,98.0,2.0,41.0,0.237,0.287,0.443,0.73,,,,,,,,,,,,
17,No,0,AL84,Batter,1,AL,1984,Willie Upshaw,TOR,8.0,0.0,2%,2.6,152.0,569.0,79.0,158.0,19.0,84.0,10.0,55.0,0.278,0.345,0.464,0.809,,,,,,,,,,,,
18,No,0,AL84,Batter,1,AL,1984,Brian Downing,CAL,6.0,0.0,2%,3.1,156.0,539.0,65.0,148.0,23.0,91.0,0.0,70.0,0.275,0.36,0.462,0.822,,,,,,,,,,,,
19,No,0,AL84,Batter,1,AL,1984,Steve Balboni,KCR,5.0,0.0,1%,2.2,126.0,438.0,58.0,107.0,28.0,77.0,0.0,45.0,0.244,0.32,0.498,0.817,,,,,,,,,,,,
20,No,0,AL84,Batter,1,AL,1984,George Bell,TOR,5.0,0.0,1%,3.1,159.0,606.0,85.0,177.0,26.0,87.0,11.0,24.0,0.292,0.326,0.498,0.824,,,,,,,,,,,,
21,No,0,AL84,Batter,1,AL,1984,Andre Thornton,CLE,5.0,0.0,1%,2.8,155.0,587.0,91.0,159.0,33.0,99.0,6.0,91.0,0.271,0.366,0.484,0.85,,,,,,,,,,,,
22,No,0,AL84,Batter,1,AL,1984,Buddy Bell,TEX,4.0,0.0,1%,6.1,148.0,553.0,88.0,174.0,11.0,83.0,2.0,63.0,0.315,0.382,0.458,0.84,,,,,,,,,,,,
23,No,0,AL84,Batter,1,AL,1984,Lloyd Moseby,TOR,4.0,0.0,1%,7.3,158.0,592.0,97.0,166.0,18.0,92.0,39.0,78.0,0.28,0.368,0.47,0.837,,,,,,,,,,,,
24,No,0,AL84,Pitcher,0,AL,1984,Dave Stieb,TOR,4.0,0.0,1%,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,16.0,8.0,2.83,1.135,35.0,35.0,0.0,267.0,215.0,19.0,88.0,198.0
25,No,0,AL84,Batter,1,AL,1984,Juan Beníquez,CAL,2.0,0.0,1%,2.1,110.0,354.0,60.0,119.0,8.0,39.0,0.0,18.0,0.336,0.37,0.452,0.822,,,,,,,,,,,,
26,No,0,AL84,Pitcher,0,AL,1984,Mike Boddicker,BAL,2.0,0.0,1%,5.1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,20.0,11.0,2.79,1.144,34.0,34.0,0.0,261.1,218.0,23.0,81.0,128.0
27,No,0,AL84,Pitcher,0,AL,1984,Doyle Alexander,TOR,1.0,0.0,0%,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,17.0,6.0,3.13,1.135,36.0,35.0,0.0,261.2,238.0,21.0,59.0,139.0
28,No,0,AL84,Batter,1,AL,1984,Cal Ripken Jr.,BAL,1.0,0.0,0%,10.0,162.0,641.0,103.0,195.0,27.0,86.0,2.0,71.0,0.304,0.374,0.51,0.884,,,,,,,,,,,,
1,Yes,1,NL84,Batter,1,NL,1984,Ryne Sandberg,CHC,326.0,22.0,97%,8.5,156.0,636.0,114.0,200.0,19.0,84.0,32.0,52.0,0.314,0.367,0.52,0.887,,,,,,,,,,,,
2,No,0,NL84,Batter,1,NL,1984,Keith Hernandez,NYM,195.0,1.0,58%,6.3,154.0,550.0,83.0,171.0,15.0,94.0,2.0,97.0,0.311,0.409,0.449,0.859,,,,,,,,,,,,
3,No,0,NL84,Batter,1,NL,1984,Tony Gwynn,SDP,184.0,1.0,55%,6.3,158.0,606.0,88.0,213.0,5.0,71.0,33.0,59.0,0.351,0.41,0.444,0.853,,,,,,,,,,,,
4,No,0,NL84,Pitcher,0,NL,1984,Rick Sutcliffe,CHC,151.0,0.0,45%,4.2,20.0,56.0,3.0,14.0,0.0,6.0,0.0,2.0,0.25,0.276,0.304,0.579,16.0,1.0,2.69,1.078,20.0,20.0,0.0,150.1,123.0,9.0,39.0,155.0
5,No,0,NL84,Batter,1,NL,1984,Gary Matthews,CHC,70.0,0.0,21%,3.2,147.0,491.0,101.0,143.0,14.0,82.0,17.0,103.0,0.291,0.41,0.428,0.838,,,,,,,,,,,,
6,No,0,NL84,Pitcher,0,NL,1984,Bruce Sutter,STL,67.0,0.0,20%,4.3,71.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,1.54,1.076,71.0,0.0,45.0,122.2,109.0,9.0,23.0,77.0
7,No,0,NL84,Batter,1,NL,1984,Mike Schmidt,PHI,55.0,0.0,16%,7.0,151.0,528.0,93.0,146.0,36.0,106.0,5.0,92.0,0.277,0.383,0.536,0.919,,,,,,,,,,,,
8,No,0,NL84,Batter,1,NL,1984,José Cruz,HOU,53.0,0.0,16%,6.3,160.0,600.0,96.0,187.0,12.0,95.0,22.0,73.0,0.312,0.381,0.462,0.842,,,,,,,,,,,,
9,No,0,NL84,Batter,1,NL,1984,Dale Murphy,ATL,52.0,0.0,15%,5.5,162.0,607.0,94.0,176.0,36.0,100.0,19.0,79.0,0.29,0.372,0.547,0.919,,,,,,,,,,,,
10,No,0,NL84,Batter,1,NL,1984,Jody Davis,CHC,49.0,0.0,15%,2.1,150.0,523.0,55.0,134.0,19.0,94.0,5.0,47.0,0.256,0.315,0.421,0.736,,,,,,,,,,,,
11,No,0,NL84,Batter,1,NL,1984,Tim Raines,MON,41.0,0.0,12%,6.5,160.0,622.0,106.0,192.0,8.0,60.0,75.0,87.0,0.309,0.393,0.437,0.83,,,,,,,,,,,,
12,No,0,NL84,Batter,1,NL,1984,Leon Durham,CHC,38.0,0.0,11%,3.7,137.0,473.0,86.0,132.0,23.0,96.0,16.0,69.0,0.279,0.369,0.505,0.874,,,,,,,,,,,,
13,No,0,NL84,Pitcher,0,NL,1984,Rich Gossage,SDP,34.0,0.0,10%,1.7,62.0,22.0,0.0,4.0,0.0,0.0,0.0,1.0,0.182,0.217,0.182,0.399,10.0,6.0,2.9,1.085,62.0,0.0,25.0,102.1,75.0,6.0,36.0,84.0
14,No,0,NL84,Batter,1,NL,1984,Gary Carter,MON,32.0,0.0,10%,7.5,159.0,596.0,75.0,175.0,27.0,106.0,2.0,64.0,0.294,0.366,0.487,0.853,,,,,,,,,,,,
15,No,0,NL84,Pitcher,0,NL,1984,Dwight Gooden,NYM,28.0,0.0,8%,5.7,31.0,70.0,5.0,14.0,0.0,3.0,0.0,1.0,0.2,0.205,0.2,0.405,17.0,9.0,2.6,1.073,31.0,31.0,0.0,218.0,161.0,7.0,73.0,276.0
16,No,0,NL84,Batter,1,NL,1984,Alan Wiggins,SDP,14.0,0.0,4%,3.0,158.0,596.0,106.0,154.0,3.0,34.0,70.0,75.0,0.258,0.342,0.329,0.671,,,,,,,,,,,,
17,No,0,NL84,Batter,1,NL,1984,Ron Cey,CHC,6.0,0.0,2%,1.6,146.0,505.0,71.0,121.0,25.0,97.0,3.0,61.0,0.24,0.324,0.442,0.766,,,,,,,,,,,,
18,No,0,NL84,Batter,1,NL,1984,Bob Dernier,CHC,6.0,0.0,2%,3.1,143.0,536.0,94.0,149.0,3.0,32.0,45.0,63.0,0.278,0.356,0.362,0.718,,,,,,,,,,,,
19,No,0,NL84,Batter,1,NL,1984,Kevin McReynolds,SDP,6.0,0.0,2%,5.4,147.0,525.0,68.0,146.0,20.0,75.0,3.0,34.0,0.278,0.317,0.465,0.782,,,,,,,,,,,,
20,No,0,NL84,Batter,1,NL,1984,Steve Garvey,SDP,5.0,0.0,1%,0.4,161.0,617.0,72.0,175.0,8.0,86.0,1.0,24.0,0.284,0.307,0.373,0.68,,,,,,,,,,,,
21,No,0,NL84,Batter,1,NL,1984,Bob Brenly,SFG,1.0,0.0,0%,3.7,145.0,506.0,74.0,147.0,20.0,80.0,6.0,48.0,0.291,0.352,0.464,0.816,,,,,,,,,,,,
22,No,0,NL84,Batter,1,NL,1984,Jeffrey Leonard,SFG,1.0,0.0,0%,3.4,136.0,514.0,76.0,155.0,21.0,86.0,17.0,47.0,0.302,0.357,0.484,0.841,,,,,,,,,,,,
23,No,0,NL84,Batter,1,NL,1984,Juan Samuel,PHI,1.0,0.0,0%,3.0,160.0,701.0,105.0,191.0,15.0,69.0,72.0,28.0,0.272,0.307,0.442,0.749,,,,,,,,,,,,
1,Yes,1,AL85,Batter,1,AL,1985,Don Mattingly,NYY,367.0,23.0,94%,6.5,159.0,652.0,107.0,211.0,35.0,145.0,2.0,56.0,0.324,0.371,0.567,0.939,,,,,,,,,,,,
2,No,0,AL85,Batter,1,AL,1985,George Brett,KCR,274.0,5.0,70%,8.3,155.0,550.0,108.0,184.0,30.0,112.0,9.0,103.0,0.335,0.436,0.585,1.022,,,,,,,,,,,,
3,No,0,AL85,Batter,1,AL,1985,Rickey Henderson,NYY,174.0,0.0,44%,9.9,143.0,547.0,146.0,172.0,24.0,72.0,80.0,99.0,0.314,0.419,0.516,0.934,,,,,,,,,,,,
4,No,0,AL85,Batter,1,AL,1985,Wade Boggs,BOS,159.0,0.0,41%,9.1,161.0,653.0,107.0,240.0,8.0,78.0,2.0,96.0,0.368,0.45,0.478,0.928,,,,,,,,,,,,
5,No,0,AL85,Batter,1,AL,1985,Eddie Murray,BAL,130.0,0.0,33%,5.6,156.0,583.0,111.0,173.0,31.0,124.0,5.0,84.0,0.297,0.383,0.523,0.906,,,,,,,,,,,,
6,No,0,AL85,Pitcher,0,AL,1985,Donnie Moore,CAL,96.0,0.0,24%,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,8.0,8.0,1.92,1.087,65.0,0.0,31.0,103.0,91.0,9.0,21.0,72.0
7,No,0,AL85,Batter,1,AL,1985,Jesse Barfield,TOR,88.0,0.0,22%,6.8,155.0,539.0,94.0,156.0,27.0,84.0,22.0,66.0,0.289,0.369,0.536,0.905,,,,,,,,,,,,
8,No,0,AL85,Batter,1,AL,1985,George Bell,TOR,84.0,0.0,21%,4.1,157.0,607.0,87.0,167.0,28.0,95.0,21.0,43.0,0.275,0.327,0.479,0.807,,,,,,,,,,,,
9,No,0,AL85,Batter,1,AL,1985,Harold Baines,CHW,49.0,0.0,13%,2.4,160.0,640.0,86.0,198.0,22.0,113.0,1.0,42.0,0.309,0.348,0.467,0.815,,,,,,,,,,,,
10,No,0,AL85,Pitcher,0,AL,1985,Bret Saberhagen,KCR,45.0,0.0,11%,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,20.0,6.0,2.87,1.058,32.0,32.0,0.0,235.1,211.0,19.0,38.0,158.0
11,No,0,AL85,Pitcher,0,AL,1985,Dan Quisenberry,KCR,39.0,0.0,10%,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,8.0,9.0,2.37,1.225,84.0,0.0,37.0,129.0,142.0,8.0,16.0,54.0
